cid,text,time,author,channel,votes,heart
,,,,,,
UgxzgsYGlJPXxAy0FPx4AaABAg,"Hình như cái trò đầu ở Việt Nam là nó kiểu "" Vòng tròn socola bánh đa sữa đậu nành sống hay chết trả lời mau "" Chỗ em chơi kiểu vậy á nó giống ý hệt trò đầu lun",4 tháng trước,Hananene_2607,UCYAzcpfLwvVHCVPhcBPgawQ,125,TRUE
,,,,,,
UgymGEvTbCL8t4kGzft4AaABAg,"xem chị kể cuốn hút lắm luôn, sợ nhưng kể hay quá phải xem:)",4 tháng trước,twiillggyy,UCXUMj9-9FddqIVFaFV5D7_A,17,TRUE
,,,,,,
UgzlM63FGp2zniWTA0R4AaABAg,"sở thích kỳ lạ, sợ truyện ma, phim ma mà cứ thích nghe với xem 😂",4 tháng trước,Tùng Dương,UCBzhEyXPBq6vCxg1uLHH-lQ,15,FALSE
,,,,,,
UgwhJU0FXz9RbhLEEfd4AaABAg,"4:39 hồi bé mình chơi toàn kêu là ""rồng rắn lên mây có cái cây xúc xích"" 🤣🤣🤣",1 tháng trước,Hannah ,UCCR5pZV0miFTAX_Tx830_1g,1,FALSE
,,,,,,
Ugwt1aCw1MlBRwBAc1d4AaABAg,Vừa ăn vừa tắt điện rồi còn nghe chuyện ma của chị Nhi nữa thì còn gì bằng><,4 tháng trước,ᴵᴬᴹ𝘢𝘣𝘣𝘦𝘺𝘯𝘦𝘦ッ,UC0GYCGI0gUym96uPVr6QZKg,4,FALSE
,,,,,,
UgyftqM8BkWufzIdBMl4AaABAg,"trò chơi đầu tiên : vòng quanh socola :vvv
oni = làm đỉa 🤣",4 tháng trước,Trunwf,UCmWBoN-PXOXHSB4jOZYHR6g,4,FALSE
,,,,,,
UgxvzWWEQA17HlujiOl4AaABAg,💖💖💖💕,4 tháng trước,Việt Thắng Nguyễn,UCTlqh8TWauJOv24fNUKeogQ,0,FALSE
,,,,,,
Ugx3s1pz2zpQbVFy2054AaABAg,Buổi chiều vui vẻ nha cj Nhi ❤,4 tháng trước,Ngô Đình Hà,UC6z2tH08Xdsal3FXH7l3Mlw,7,TRUE
,,,,,,
UgxnODm2yZyAHVTMOJl4AaABAg,Ở chỗ em toàn kêu rồng rắn lên mây có cái lúc lắc có ông ở nhà không 😅,1 tháng trước,Di Kien,UCfsvuxxrGdMeqtrMV7DdFxA,0,FALSE
,,,,,,
