id,clean_comment,Label_API,Person_1,Person_2,emotion
0,"hình như cái trò đầu ở việt nam là nó kiểu ""vòng tròn socola bánh đa sữa đậu nành sống hay chết trả lời mau ""chỗ em chơi kiểu vậy á nó giống ý hệt trò đầu lun","surprise, enjoyment","surprise, enjoyment","surprise, enjoyment","surprise, enjoyment"
1,"xem chị kể cuốn hút lắm luôn, sợ nhưng kể hay quá phải xem:)","fear, enjoyment","fear, enjoyment","fear, enjoyment","fear, enjoyment"
2,"sở thích kỳ lạ, sợ truyện ma, phim ma mà cứ thích nghe với xem 😂","enjoyment, surprise, fear, disgust","surprise, enjoyment, fear","surprise, enjoyment, fear","surprise, enjoyment, fear"
3,"4:39 hồi bé mình chơi toàn kêu là ""rồng rắn lên mây có cái cây xúc xích"" 🤣","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
4,buổi chiều vui vẻ nha chị nhi ❤,enjoyment,enjoyment,enjoyment,enjoyment
5,trò chơi đầu tiên: vòng quanh socola: v oni = làm đỉa 🤣,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
6,chị thử làm những tựa game kinh dị chưa có lời giải đáp đi,"fear, surprise, other","fear, surprise, other","fear, surprise, other","fear, surprise, other"
7,"ở việt nam có trò chơi, cách chơi giống với nhật bản là vòng quay socola","enjoyment, surprise",other,other,other
8,trò đầu bọn em có chơi nhưng câu nó hài hơn nhiều:)),"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
9,vừa ăn vừa tắt điện rồi còn nghe chuyện ma của chị nhi nữa thì còn gì bằng> <,"enjoyment, surprise, other","enjoyment, surprise","enjoyment, surprise",enjoyment
10,chị ơi chị làm về vụ án về lacey flechter đi ạ nó ở mỹ năm em không nhớ,other,other,other,other
11,tên ở việt nam nó là: vòng quay socola: bài đồng dao: vòng quay socola bánh bao sữa đậu nành;],other,other,other,other
12,ở chỗ em toàn kêu rồng rắn lên mây có cái lúc lắc có ông ở nhà không 😅,"surprise, enjoyment","surprise, enjoyment, other","surprise, enjoyment, other","surprise, enjoyment, other"
13,"hồi mầm non lớp em chơi rồng rắn lên mây nhưng nó lạ lắm, rồng rắn lên mây, có chị núc nác, có nhà điểm binh, hỏi thăm thầy thuốc, có nhà hay không, thầy thuốc đang đi ỉa.😂","enjoyment, surprise, other","surprise, enjoyment, other","surprise, enjoyment","enjoyment, surprise, other"
14,"Chào chị, em mê nghe truyện trùng tang chìu an lành chị nhé","enjoyment, surprise",enjoyment,enjoyment,enjoyment
15,cái bài đồng dao đầu tiên hồi xưa chỗ em chơi người thì nói: bòn bon si cu la còn em thì: bòn bon si cu la sữa hộp gà ốc chó 😂,"enjoyment, surprise, other","enjoyment, surprise","enjoyment, surprise, other","enjoyment, surprise, other"
16,"hồi đó tụi tui nói là vòng tròn sô-cô-la bánh kem sô-cô-la rồi còn gì thì tui cũng không nhớ nữa, người đứng ở giữa vòng tròn đó đang bịt mắt á, khi nói xong câu đó là bắt đầu người đứng ở giữa bắt những người kia","surprise, fear, disgust","surprise, fear, disgust, other","surprise, fear, disgust, other","surprise, fear, disgust, other"
17,chiều vui vẻ nha cj💕,enjoyment,enjoyment,enjoyment,enjoyment
18,1:38 là vòng quanh sô cô la nha chị,other,other,other,other
19,tưởng không giống mà giống không tưởng =),"surprise, enjoyment","surprise, enjoyment","surprise, enjoyment","surprise, enjoyment"
20,wow thú vị quá thật sự không thể tin được 🤓,"surprise, enjoyment","surprise, enjoyment","surprise, enjoyment","surprise, enjoyment"
21,phi phai sống giải thành huyền thoại,"surprise, fear, other",other,other,other
22,đây là óng khói ở thung lũng trong bảng đồ fifai lúc trước nó không có lỗ mà là 1 mặt phẳng anh em chúng tui hay bay lên đấm nhau nhưng từ khi game pay to win thì anh em tui bỏ game=)),"enjoyment, sadness, disgust, surprise","enjoyment, surprise, other","enjoyment, surprise","enjoyment, surprise"
23,chỗ vừa lạ vừa quen 😂,"surprise, enjoyment","surprise, enjoyment","surprise, enjoyment","surprise, enjoyment"
24,đâu phải chị trong game nó nhảy từ đó xuống mà vẫn đủ 200 máu nhảy xuống thì chỉ còn 10 máu nữa thôi mà,"surprise, disgust, fear","surprise, fear, disgust","surprise, fear, disgust","surprise, fear, disgust"
25,cái tháp đó giúp tui leo lên thuyền thoại 5lần rồi 😂,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
26,ông này nhảy xuống bermuda land rồi xuống thung lũng lood súng à tui cũng muốn nhảy cùng anh ấy😂,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
27,chổ này anh em tui từng sinh tử ở đây 😅,"sadness, enjoyment, surprise","sadness, enjoyment","sadness, enjoyment","sadness, enjoyment"
28,anh thử nhảy thử chắc vẫn con sống như phi phai 😂,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
29,trong game nhảy xuống không chết còn ngoài đời thì .....,other,other,other,other
30,ơ kìa loot đồ đi anh zai =)))),"enjoyment, surprise","enjoyment, surprise",enjoyment,"enjoyment, surprise"
31,fi fai sống dai thành bà nội🐧,other,"surprise, enjoyment","surprise, enjoyment","surprise, enjoyment"
32,tui chơi fi fai hơi ảo tưởng 180 phút gòi😂,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
33,thung lũng kìa😅 đi loot đồ đi😂,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
34,fifai sống dai thành huyền thoại,"surprise, enjoyment","surprise, enjoyment",other,"surprise, enjoyment"
35,hình như đấy là cái tháp làm nguội của một nhà máy hạt nhân hay sao ấy,"surprise, disgust","surprise, other","surprise, other","surprise, other"
36,phi phai ngoài đời thực à😂,other,"surprise, enjoyment","surprise, enjoyment","surprise, enjoyment"
37,giống i như trong free fire luôn á😂,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
38,trẻ trâu lửa chùa úi cổng usb:),"enjoyment, surprise, other","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
39,cái này không phải đơn giản . có hồn dẫn dắt người xem như đi lạc vào rừng sâu hoang dã vậy . đỉnh cao của âm nhạc là đây,"enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise","enjoyment, surprise, other"
40,"nghe mà cứ ngỡ như anh ta kể chuyện về bộ lạc của mình thời xa xưa . nơi có núi rừng bạt ngàn, con người, muông thú, .. sinh sống trong ấm lo, hạnh phúc . rồi tới 1 ngày mọi thứ tuột mất tầm tay họ do sự xâm lăng của bộ tộc khác . họ bị đuổi đi khỏi nơi bình yên đó . những người sống sót trong lúc di cư đã dùng âm nhạc này để kể lại cho con cháu mình nghe về quá khứ.","sadness, fear, disgust, surprise","sadness, fear, disgust, surprise","sadness, fear, disgust, other","sadness, fear, disgust, surprise"
41,"nghe vừa có chút bi tráng, vừa có lòng tự hào dân tộc, vừa thể hiện sức mạnh tộc mình, quá hay . ps: tên bài này là promentory là nhạc phim, nhưng anh này cover lại thấy hay hơn.","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
42,tuyệt vời đỉnh cao của âm nhạc tiến tiêu làm cho người nghe có cảm giác như được trở về với thời núi rừng.thời mà tôi thường vào rừng với ông ngoại để đặc bảy và săn thú.uống nước suối ở trong núi rừng . ngài đó còn đâu.ôi thật là nhớ.nhớ ngoại quá.huhu,"sadness, enjoyment","sadness, enjoyment","sadness, enjoyment","sadness, enjoyment"
43,nghe xong niềm tự hào dân tộc càng cao,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
44,mỗi khi có tâm trạng tôi lại thích nghe bài này nó đem ta về một thời cổ xưa của loài người,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
45,vừa có oán hận vừa có đau thương vừa có cả nước mắt trong đó vừa có cả tinh thần bất phục của 1 dân tộc,"sadness, anger, disgust, surprise","sadness, anger, disgust, other","sadness, anger, fear, disgust","sadness, anger, fear, disgust"
46,tiến sáo trúc kèm thêm đạo cụ...đậm sắc dân tộc...đi vào lòng người ....,"sadness, disgust, surprise, other","fear, surprise, other","fear, surprise, other","fear, surprise, other"
47,"nghe như mình đang sống thời kỳ trước công nguyên, bài tiêu ẩn chứa nhiều thứ, rất tuyệt vời","enjoyment, surprise, other","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
48,nghe thấy não lòng mà thâm thúy quá . hẳn là 1 câu truyện rất buồn và đau khổ đã xảy ra sau bài hát.,"sadness, disgust, fear","sadness, disgust, other","sadness, disgust, other","sadness, disgust, other"
49,tôi như đang lạc vào một nơi như truyện cổ tích 😌😔 thank you 🙏,"enjoyment, sadness, surprise","sadness, enjoyment, surprise","sadness, enjoyment, surprise","sadness, enjoyment, surprise"
50,mỗi lần nghe bài bài lại tự thả lòng về nơi riêng một 1 mình tôi và nơi đó rất thản lòng...so với cái thế gian này,"enjoyment, surprise, other","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
51,2020 đẳng cấp nó vẫn là mãi mãi sống theo thời gian 👍,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
52,"nhạc hay quá! quá đẳng cấp, nghe nổi hết da gà . nổi đau người da đỏ mochigan khi bị mất lãnh thổ","enjoyment, surprise, other","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
53,"đây là nhạc phẩm trong phim the last of the mohicans, phim lâu rồi, nhưng rất hay .😊","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
54,bị quấn hồn vào tiếng khóc kêu oan của rất nhiều người...nỗi khổ vạn sầu,"sadness, fear, disgust","sadness, fear, other","sadness, fear, other","sadness, fear, other"
55,hay! đẳng cấp 👍 mở bài này mà đi ngủ thì dễ chìm vào giấc ngủ👌😌😝,"enjoyment, surprise, other","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
56,nghe cảm xúc quá . giống như mình đang ở thế giới khác vậy.,"enjoyment, surprise, other","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
57,"nghe mà cứ nổi gai ốc lên, quá hay, quá hồn!","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
58,nghe bài này xong .. loài người mình nên thức tỉnh .. yêu thương thiên nhiên hơn,"enjoyment, surprise, other","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
59,hội chợ tour du lịch trong nước và ngoài nước thật hấp dẫn tour đi du thuyền mua một tặng một có lấy quá! 👍,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
60,video chia sẽ cập nhật giá vé du lịch trong nước cũng như ngoài nước rất hữu ích,"surprise, enjoyment","surprise, enjoyment","surprise, enjoyment","surprise, enjoyment"
61,"c2: chị dâu tốt lắm á, cậu hãy trân trọng chị ấy nhée","enjoyment, surprise","enjoyment, other","enjoyment, other","enjoyment, other"
62,c1: ừm mình cũng đồng tình 😊,enjoyment,enjoyment,enjoyment,enjoyment
63,c1: đồng tình😂🤣😅,"enjoyment, surprise",enjoyment,"enjoyment, surprise","enjoyment, surprise"
64,"c1: đồng ý, đồng ý👍",enjoyment,enjoyment,enjoyment,enjoyment
65,c1 sức sắc lun,"surprise, other","surprise, enjoyment","surprise, enjoyment","surprise, enjoyment"
66,c3: tròi ơi chị chơi luôn đi chế:)),"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
67,c3: chị yêu luôn đi,"enjoyment, surprise",enjoyment,enjoyment,enjoyment
68,c1 cho chị 1 like nha nhưng hóng drama thì phải xem xét nhiều mặt thì hơi quá,"disgust, surprise",other,other,other
69,c1: đồng tình,other,"enjoyment, other","enjoyment, other","enjoyment, other"
70,c2 😊 cho chị dâu thật tuyệt vời chị ơi! chị mua đôi giày 1 triệu 200 nghìn á để tặng chị dâu là chuẩn quá!! 👍,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
71,:) ủa mà làm nhiều bánh vậy ai ăn vậy page?,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
72,c1: ủa tưởng mấy bình luận đó chủ yếu đùa:)???,"enjoyment, surprise",enjoyment,enjoyment,enjoyment
73,trễ 6 tiếng:),"enjoyment, surprise","surprise, enjoyment","surprise, enjoyment","surprise, enjoyment"
74,4c thì đã có 3 cái cũ rồi,other,other,other,other
75,trễ 41 phút=v,"anger, disgust, surprise","anger, disgust, other","anger, disgust, other","anger, disgust, other"
76,đầu🤧😆,"surprise, other","surprise, other","surprise, other","surprise, other"
77,c3: đăng lại truyện cũ à page,other,other,other,other
78,mai tui thi rồi mọi người chúc tui đi (^- <),"enjoyment, surprise","sadness, enjoyment, other","sadness, enjoyment, other","sadness, enjoyment, other"
79,c3 sao quản trị viên đăng lại vậy,other,other,other,other
80,"tổ quốc biết ơn các con❤chúc các con luôn mạnh khỏe, chân cứng đá mềm, bình an ","enjoyment, surprise, other","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
81,hành động đẹp của các chú bộ đội 😊❤,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
82,xem cảnh này rồi thì biết bao kỉ niệm ùa về 😢! đừng nghe người khác nói đi nghĩa vụ là mệt là khổ cực nhưng có được 2 năm kĩ niệm đẹp bên đồng đội được học những cái mới có nhiều bạn mới! ,"sadness, enjoyment, surprise","sadness, enjoyment, other","sadness, enjoyment, other","sadness, enjoyment, other"
83,tình quân dân trong thời bình và thời chiến được bộ đội thể hiện rõ❤👍,other,other,"enjoyment, surprise","enjoyment, surprise"
84,chả bức tranh nghệ thuật nào mà đẹp như hình ảnh chú bộ đội việt nam trên tay khẩu súng mà hành quân cả ❤ . nhìn mà xúc động làm sao ấy ,"enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
85,thương lắm nghĩa tình quân và dân,other,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
86,mấy chú bộ đội dễ thương quá (nhà có đứa em cũng đang đi bộ đội) hy vọng những anh em luôn luôn bình an…❤️️,"enjoyment, sadness, surprise","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
87,đúng là những chú bộ đội vô cùng là có tấm lòng nhân hậu và tốt bụng mà.đã bt là mình đang ở nhờ nhà dân nên mới giúp đỡ cho người dân ấy chứ.xin cảm ơn những chú bộ bội dũng cảm đã đứng ra để bảo vệ đất nước để đất nc mới có được như ngày hôm nay nhà❤️,"enjoyment, surprise, other",enjoyment,"enjoyment, other","enjoyment, other"
88,mấy chú bộ đội có hành động cực đẹp ❤,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
89,"bộ đội việt nam vẫn vậy, mình yêu bộ đội từ khi bé xíu ❤","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
90,cảm phục các chú bộ đội,other,other,other,other
91,"năm 2012 tôi cũng đi diễn tập ở mây tàu đồng nai để 1 tháng sau ra quân, tôi cũng ở như các đồng chí bây giờ, xong 1 tháng sau ra quân tôi cưới luôn con gái chủ nhà chúng tôi đã có 2 đứa con.😁","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
92,không thể nào tả được cảm giác này ❤,other,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
93,một thời đi bộ đội hành quân.ôi h nhớ lại thấy bao kỷ niệm.chúc các đồng chí dồi dào sức khỏe chân cứng đá mềm nha,"sadness, enjoyment, surprise","sadness, enjoyment, other","sadness, enjoyment, other","sadness, enjoyment, other"
94,các chú bộ đội có hành động thật đẹp ❤,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
95,đây là lực lượng dân quý dân thương nhất ❤,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
96,nhìn mây chú bô ₫ôi giông ngày xua dây cung là trung cho bác hô và viet nam🥰🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳👍😍😻🌙,"enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
97,tôi luôn có cái nhìn rất riêng về các anh bộ đội cụ hồ kính trọng . yêu thương và gần gũi,other,other,other,other
98,vậy sao chúng ta không học hỏi các chú bộ đội . người có văn hóa đi đâu cũng có người thương,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
99,"đúng là chuẩn tác phong quân đội, xem clip mà thương và nể phục các bạn lắm","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
100,cam mỹ 😂,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
101,cambodia nhưng nó lạ lắm,"disgust, surprise","sadness, disgust, other","disgust, surprise",surprise
102,mong rằng mọi người sẽ thích những sản phẩm này trong album của mình!!! cùng đợi mời trầu nhé <3 - nhất thân - ái nộ - mời trầu -??? -???,"enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other","enjoyment, surprise, other"
103,hay quá anh masiu ơi .... ủa nhầm anh masew ơi.,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
104,lâu lâu mới thấy 1 siêu phẩm thực sự đỉnh thế này .. tuyệt vời,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
105,"người đi xa có nhớ chăng? dòng thư tay lời hỏi thăm vài câu ca dưới ánh trăng mờ hôm đó có ai đang trở về lệ dần phai theo tháng năm lời biệt ly sao khó khăn vùi đầu trong chăn gối mong được nói hết tâm tư này đừng dối em ơi đừng lừa em ơi đừng vờn con tim anh như trò đùa đừng hứa đôi ba lời cuội nhăng nha đừng để à í anh í anh đừng dối em ơi, toàn là văn thôi 1 lần đau thôi anh đủ mệt rồi đừng hứa thêm chi lệ dài trên mi đừng để anh hóa ma lai khói sương thật mơ màng chết trong sự ngỡ ngàng đôi ba lời câu hình thức ta ngân nga để lại cho nàng rồi giờ này nàng cùng với ai? chẳng còn ngày nào mặn nồng với ta đời sang trang linh hồn lang thang phận này ngang ngang một mình lướt trên con đò tình tang tang giai điệu ngân vang từ biệt nhân gian à ý aa người đi xa có nhớ chăng? dòng thư tay lời hỏi thăm vài câu ca dưới ánh trăng mờ hôm đó có ai đang trở về lệ dần phai theo tháng năm lời biệt ly sao khó khăn vùi đầu trong chăn gối mong được nói hết tâm tư này đừng dối em ơi đừng lừa em ơi đừng vờn con tim anh như trò đùa đừng hứa đôi ba lời cuội nhăng nha đừng để anh í anh í anh đừng dối em ơi, toàn là văn thôi 1 lần đau thôi anh đủ mệt rồi đừng hứa thêm chi lệ dài trên mi đừng để anh hóa ma lai","sadness, fear, disgust, surprise","sadness, fear, other","sadness, fear, disgust, surprise","sadness, fear, disgust, surprise"
106,"quá tuyệt vời, từng giai âm được chỉnh chu đến mức không còn gì để chê được . giọng bạn hát gọi là sự pha trộn hoàn hảo giữa kĩ thuật và cảm xúc.","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
107,nhức cái nách thiệt chớ masew ơi,"anger, disgust, fear","anger, disgust","anger, disgust","anger, disgust"
108,đỉnh cao của masew là remix tiếng nhạc có tiếng nhạc cụ âm nhạc như sáo và đàn thập lục...quá đỉnh!,"enjoyment, surprise, other","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
109,"lyrics: người đi xa có nhớ chăng? dòng thư tay lời hỏi thăm vài câu ca dưới ánh trăng mờ hôm đó có ai đang trở về lệ dần phai theo tháng năm lời biệt ly sao khó khăn vùi đầu trong chăn gối mong được nói hết tâm tư này đừng dối em ơi đừng lừa em ơi đừng vờn con tim anh như trò đùa đừng hứa đôi ba lời cuội nhăng nha đừng để à í anh í anh đừng dối em ơi, toàn là văn thôi 1 lần đau thôi anh đủ mệt rồi đừng hứa thêm chi lệ dài trên mi đừng để anh hóa ma lai khói sương thật mơ màng chết trong sự ngỡ ngàng đôi ba lời câu hình thức ta ngân nga để lại cho nàng rồi giờ này nàng cùng với ai? chẳng còn ngày nào mặn nồng với ta đời sang trang linh hồn lang thang phận này ngang ngang một mình lướt trên con đò tình tang tang giai điệu ngân vang từ biệt nhân gian à ý aa người đi xa có nhớ chăng? dòng thư tay lời hỏi thăm vài câu ca dưới ánh trăng mờ hôm đó có ai đang trở về lệ dần phai theo tháng năm lời biệt ly sao khó khăn vùi đầu trong chăn gối mong được nói hết tâm tư này đừng dối em ơi đừng lừa em ơi đừng vờn con tim anh như trò đùa đừng hứa đôi ba lời cuội nhăng nha đừng để anh í anh í anh đừng dối em ơi, toàn là văn thôi 1 lần đau thôi anh đủ mệt rồi đừng hứa thêm chi lệ dài trên mi đừng để anh hóa ma lai chúc các cậu 1 ngày vui vẻ!","sadness, surprise, other","sadness, surprise, other","sadness, surprise, other","sadness, surprise, other"
110,giờ mới có dịp nghe nhạc của anh . kết hợp giữa nhạc dân gian và hiện đại đúng là đẳng cấp quá anh ạ,"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
111,kết hợp nhạc cụ dân tộc nghe rất thiên nhiên,"enjoyment, surprise, other","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
112,quá là hay:)) mong anh có ra nhiêu sản phẩm thành công hơn nữa:)),"enjoyment, surprise","enjoyment, surprise","enjoyment, surprise","enjoyment, surprise"
113,"lyrics người đi xa có nhớ chăng? dòng thư tay lời hỏi thăm vài câu ca dưới ánh trăng mờ hôm đó có ai đang trở về? lệ dần phai theo tháng năm lời biệt ly sao khó khăn vùi đầu trong chăn gối mong được nói hết tâm tư này đừng dối em ơi đừng lừa em ơi đừng vờn con tim anh như trò đùa! đừng hứa đôi ba lời cuội nhăng nha đừng để à í anh í a~ đừng dối em ơi, toàn là văn thôi .. 1 lần đau thôi anh đủ mệt rồi! đừng hứa thêm chi lệ dài trên mi đừng để anh hóa ma lai! - - - - - - - - - - - - - - - - - - - khói sương thật mơ màng .. chết trong sự ngỡ ngàng .. đôi ba lời câu hình thức ta ngân nga để lại cho nàng rồi giờ này nàng cùng với ai? chẳng còn ngày nào mặn nồng với ta .. đời sang trang linh hồn lang thang phận này ngang ngang một mình lướt trên con đò tình tang tang giai điệu ngân vang từ biệt nhân gian à ý a~ - - - - - - - - - - - - - - - - - - - người đi xa có nhớ chăng? dòng thư tay lời hỏi thăm vài câu ca dưới ánh trăng mờ hôm đó có ai đang trở về? lệ dần phai theo tháng năm lời biệt ly sao khó khăn vùi đầu trong chăn gối mong được nói hết tâm tư này đừng dối em ơi đừng lừa em ơi đừng vờn con tim anh như trò đùa đừng hứa đôi ba lời cuội nhăng nha đừng để anh í anh í a~ đừng dối em ơi, toàn là văn thôi 1 lần đau thôi anh đủ mệt rồi! đừng hứa thêm chi lệ dài trên mi đừng để anh hóa ma lai~ end","sadness, fear, other","sadness, fear, other","sadness, fear, other","sadness, fear, other"
