,id,label,clean_comment,surprise,sadness,disgust,enjoyment,anger,other,fear
0,0,"['enjoyment', 'surprise']","hình như cái trò đầu ở việt nam là nó kiểu ""vòng tròn socola bánh đa sữa đậu nành sống hay chết trả lời mau ""chỗ em chơi kiểu vậy á nó giống ý hệt trò đầu lun",1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,"['fear', 'enjoyment', 'surprise']","xem chị kể cuốn hút lắm luôn, sợ nhưng kể hay quá phải xem:)",1.0,0.0,0.0,1.0,0.0,0.0,1.0
2,2,"['enjoyment', 'fear', 'surprise']","sở thích kỳ lạ, sợ truyện ma, phim ma mà cứ thích nghe với xem 😂",1.0,0.0,0.0,1.0,0.0,0.0,1.0
3,3,"['enjoyment', 'surprise']","4:39 hồi bé mình chơi toàn kêu là ""rồng rắn lên mây có cái cây xúc xích"" 🤣",1.0,0.0,0.0,1.0,0.0,0.0,0.0
4,4,"['enjoyment', 'surprise']",buổi chiều vui vẻ nha chị nhi ❤,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5,5,"['enjoyment', 'surprise']",trò chơi đầu tiên: vòng quanh socola: v oni = làm đỉa 🤣,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6,7,"['fear', 'surprise', 'other']",chị thử làm những tựa game kinh dị chưa có lời giải đáp đi,1.0,0.0,0.0,0.0,0.0,1.0,1.0
7,8,"['enjoyment', 'surprise']","ở việt nam có trò chơi, cách chơi giống với nhật bản là vòng quay socola",1.0,0.0,0.0,1.0,0.0,0.0,0.0
8,9,"['enjoyment', 'surprise']",trò đầu bọn em có chơi nhưng câu nó hài hơn nhiều:)),1.0,0.0,0.0,1.0,0.0,0.0,0.0
9,10,"['anger', 'disgust']",vừa ăn vừa tắt điện rồi còn nghe chuyện ma của chị nhi nữa thì còn gì bằng> <,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10,11,['other'],chị ơi chị làm về vụ án về lacey flechter đi ạ nó ở mỹ năm em không nhớ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,12,['enjoyment'],tên ở việt nam nó là: vòng quay socola: bài đồng dao: vòng quay socola bánh bao sữa đậu nành;],0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,13,"['surprise', 'enjoyment']",ở chỗ em toàn kêu rồng rắn lên mây có cái lúc lắc có ông ở nhà không 😅,1.0,0.0,0.0,1.0,0.0,0.0,0.0
13,14,"['enjoyment', 'surprise', 'other']","hồi mầm non lớp em chơi rồng rắn lên mây nhưng nó lạ lắm, rồng rắn lên mây, có chị núc nác, có nhà điểm binh, hỏi thăm thầy thuốc, có nhà hay không, thầy thuốc đang đi ỉa.😂",1.0,0.0,0.0,1.0,0.0,1.0,0.0
14,15,"['enjoyment', 'surprise']","Chào chị, em mê nghe truyện trùng tang chìu an lành chị nhé",1.0,0.0,0.0,1.0,0.0,0.0,0.0
15,16,"['enjoyment', 'surprise', 'other']",cái bài đồng dao đầu tiên hồi xưa chỗ em chơi người thì nói: bòn bon si cu la còn em thì: bòn bon si cu la sữa hộp gà ốc chó 😂,1.0,0.0,0.0,1.0,0.0,1.0,0.0
16,17,"['fear', 'surprise', 'other']","hồi đó tụi tui nói là vòng tròn sô-cô-la bánh kem sô-cô-la rồi còn gì thì tui cũng không nhớ nữa, người đứng ở giữa vòng tròn đó đang bịt mắt á, khi nói xong câu đó là bắt đầu người đứng ở giữa bắt những người kia",1.0,0.0,0.0,0.0,0.0,1.0,1.0
17,18,['other'],chiều vui vẻ nha cj💕,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,19,['other'],1:38 là vòng quanh sô cô la nha chị,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,20,"['surprise', 'enjoyment']",tưởng không giống mà giống không tưởng =),1.0,0.0,0.0,1.0,0.0,0.0,0.0
20,21,"['surprise', 'enjoyment']",wow thú vị quá thật sự không thể tin được 🤓,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21,22,"['surprise', 'enjoyment']",phi phai sống giải thành huyền thoại,1.0,0.0,0.0,1.0,0.0,0.0,0.0
22,23,"['sadness', 'anger', 'disgust', 'other']",đây là óng khói ở thung lũng trong bảng đồ fifai lúc trước nó không có lỗ mà là 1 mặt phẳng anh em chúng tui hay bay lên đấm nhau nhưng từ khi game pay to win thì anh em tui bỏ game=)),0.0,1.0,1.0,0.0,1.0,1.0,0.0
23,24,"['enjoyment', 'surprise', 'other']",chỗ vừa lạ vừa quen 😂,1.0,0.0,0.0,1.0,0.0,1.0,0.0
24,25,"['surprise', 'fear', 'disgust', 'other']",đâu phải chị trong game nó nhảy từ đó xuống mà vẫn đủ 200 máu nhảy xuống thì chỉ còn 10 máu nữa thôi mà,1.0,0.0,1.0,0.0,0.0,1.0,1.0
