id,comment,emotion,enjoyment,sadness,anger,fear,disgust,surprise,other
2179,tao hoa đã an bài cho phái đẹp là du xấu đẹp co nào du giỏi hay dở du nghèo hay giàu người phụ nữ da phần là thiệt thòi về mọi phương diện một khi đã bị tổn thương du con là yêu lắm du han lắm ho có thể tha thứ nhưng suốt cuộc đời họ không thể nào quên vi ho da bị tổn thương ho da mất niềm tin và có khi họ đau lòng cho đến suốt cả đời nhưng ho vẫn mong nữa mảnh đời của họ luôn được vui vẻ và hạnh phúc tình yêu,"['sadness', 'enjoyment', 'other']",1.0,1.0,0.0,0.0,0.0,0.0,1.0
5401,việt nam mãi đỉnh 😙,['enjoyment'],1.0,0.0,0.0,0.0,0.0,0.0,0.0
1858,đặt mục tiêu cho mình ưu tiên tin tưởng vào bản thân vấn đề và biết kiên nhẫn cứng cõi biết vượt qua thử thách tấm gương cho những người khác có thái độ tích cực quyết tâm tới sức mạnh lớn lao có mong muốn giúp để người khác kiếm sự ủng hộ của những người khác quyết đoán học tập và làm theo người khác muốn tìm hỏi mọi sự việc nhận sự sợ hãi và yếu điểm của bản thân từ những sai sót của mình điểm những chuẩn mực cao cả tốt bụng với mọi người xung quanh,['other'],0.0,0.0,0.0,0.0,0.0,0.0,1.0
8613,bang hội ở nhà lo lắng đứng ngồi không yên ông ngoài này mở tiệc ăn uống bó tay 😂,"['enjoyment', 'surprise', 'other']",1.0,0.0,0.0,0.0,0.0,1.0,1.0
2541,dầu gió là một loại tinh dầu rất hữu ích cho sức khỏe của bạn,['enjoyment'],1.0,0.0,0.0,0.0,0.0,0.0,0.0
8280,chào mừng trở lại 🥰,"['enjoyment', 'surprise']",1.0,0.0,0.0,0.0,0.0,1.0,0.0
8423,rất cảm ơn video của anh ạ những thông tin anh đưa ra giúp em rất nhiều trong việc chọn hướng đi phù hợp với bản thân em thấy mấy mảng kiểu tuyển dụng lương cao thật đấy nhưng nếu không phù hợp với bản thân thì cũng khó làm được,"['enjoyment', 'surprise']",1.0,0.0,0.0,0.0,0.0,1.0,0.0
711,hóng ngành kỹ thuật tự động hóa ạ,['other'],0.0,0.0,0.0,0.0,0.0,0.0,1.0
4270,mong anh ra thêm những video giải thích như thế này ạ em cảm ơn anh,"['enjoyment', 'surprise']",1.0,0.0,0.0,0.0,0.0,1.0,0.0
7474,lòng nghĩa hiệp của chính phủ anh và người dân anh nhận dân ucaina vô cùng biết ơn,"['enjoyment', 'surprise']",1.0,0.0,0.0,0.0,0.0,1.0,0.0
6852,vừa ăn cướp vừa la làng,"['fear', 'surprise', 'other']",0.0,0.0,0.0,1.0,0.0,1.0,1.0
4341,cười lăn xuống đất 😊,['enjoyment'],1.0,0.0,0.0,0.0,0.0,0.0,0.0
5687,phim hay ý nghĩa kết đẹp,"['enjoyment', 'surprise']",1.0,0.0,0.0,0.0,0.0,1.0,0.0
6186,cám ơn,['other'],0.0,0.0,0.0,0.0,0.0,0.0,1.0
